Inference for Bugs model at "modelIPDNMR", fit using jags,
 2 chains, each with 10000 iterations (first 1000 discarded), n.thin = 10
 n.sims = 1800 iterations saved
              mu.vect sd.vect    2.5%    25%    50%    75%  97.5%  Rhat n.eff
logitp[60,1]    1.584   0.412   0.762  1.315  1.577  1.854  2.426 1.002  1800
logitp[61,1]    1.647   0.428   0.796  1.364  1.640  1.928  2.525 1.001  1800
logitp[62,1]    1.711   0.445   0.830  1.412  1.702  2.002  2.619 1.001  1800
logitp[63,1]    1.775   0.462   0.864  1.468  1.764  2.080  2.711 1.001  1800
logitp[64,1]    1.840   0.479   0.899  1.519  1.832  2.160  2.804 1.001  1800
logitp[65,1]    1.906   0.496   0.934  1.573  1.896  2.238  2.905 1.001  1800
logitp[66,1]    1.972   0.514   0.969  1.629  1.960  2.312  3.008 1.001  1700
logitp[67,1]    2.040   0.532   1.000  1.685  2.027  2.390  3.113 1.001  1600
logitp[68,1]    2.108   0.550   1.028  1.738  2.097  2.471  3.216 1.001  1500
logitp[69,1]    2.178   0.569   1.053  1.796  2.167  2.555  3.326 1.001  1400
logitp[70,1]    2.249   0.588   1.081  1.855  2.238  2.640  3.436 1.002  1400
logitp[71,1]    2.321   0.607   1.109  1.912  2.313  2.726  3.546 1.002  1300
logitp[72,1]    2.395   0.627   1.142  1.971  2.388  2.813  3.657 1.002  1200
logitp[73,1]    2.470   0.647   1.171  2.031  2.463  2.904  3.777 1.003  1200
logitp[74,1]    2.548   0.668   1.205  2.092  2.543  2.994  3.899 1.008  1100
logitp[75,1]    2.627   0.690   1.248  2.159  2.623  3.088  4.021 1.004   690
logitp[76,1]    2.708   0.712   1.290  2.225  2.703  3.189  4.143 1.004   680
logitp[77,1]    2.792   0.735   1.326  2.294  2.788  3.287  4.270 1.004   680
logitp[78,1]    2.878   0.758   1.365  2.363  2.873  3.390  4.411 1.004   670
logitp[79,1]    2.967   0.783   1.412  2.435  2.962  3.496  4.549 1.004   660
logitp[80,1]    3.060   0.808   1.460  2.511  3.053  3.606  4.692 1.004   650
logitp[81,1]    3.155   0.834   1.511  2.590  3.150  3.719  4.843 1.004   650
logitp[82,1]    3.255   0.861   1.563  2.671  3.250  3.833  5.004 1.004   640
logitp[83,1]    3.359   0.890   1.608  2.755  3.359  3.953  5.172 1.004   640
logitp[84,1]    3.469   0.920   1.653  2.844  3.468  4.081  5.347 1.004   630
logitp[85,1]    3.583   0.951   1.711  2.940  3.583  4.214  5.530 1.004   630
logitp[86,1]    3.705   0.985   1.767  3.039  3.703  4.356  5.720 1.004   620
logitp[87,1]    3.834   1.020   1.831  3.144  3.833  4.510  5.926 1.004   610
logitp[88,1]    3.971   1.058   1.902  3.252  3.971  4.673  6.148 1.004   610
logitp[89,1]    4.119   1.099   1.979  3.372  4.119  4.851  6.387 1.004   610
logitp[90,1]    4.279   1.143   2.061  3.509  4.281  5.041  6.646 1.004   600
logitp[91,1]    4.454   1.192   2.145  3.656  4.456  5.247  6.929 1.004   600
logitp[92,1]    4.648   1.245   2.244  3.816  4.642  5.474  7.242 1.004   590
logitp[93,1]    4.865   1.305   2.356  3.993  4.860  5.722  7.593 1.004   590
logitp[94,1]    5.113   1.374   2.486  4.191  5.106  6.012  7.981 1.004   580
logitp[95,1]    5.403   1.454   2.625  4.425  5.393  6.360  8.428 1.004   580
logitp[96,1]    5.754   1.552   2.782  4.719  5.740  6.779  8.970 1.004   570
logitp[97,1]    6.203   1.676   2.983  5.085  6.193  7.307  9.661 1.004   570
logitp[98,1]    6.828   1.850   3.263  5.594  6.813  8.049 10.645 1.004   560
 [ reached getOption("max.print") -- omitted 302 rows ]

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).
